geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,vbm_blk_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,turnout_blk_2016,tot_elignonreg_prc_final_dup_flag_x,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,vbm_blk_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020,turnout_blk_2020,tot_elignonreg_prc_final_dup_flag_y
32013010501,13.0,0.09062,0.0,0.97592,0.0,0.10185,0.0,0.11523,0.0,0.0636,1.0,0.00348,1.0,0.00767,1.0,0.24412,0.0,0.06099,0.0,0.67782,0.0,0.01063,1.0,0.0,1.0,0.0,1.0,0.21903,0.0,0.00453,1.0,0.0,1.0,0.0,1.0,0.00331,1.0,0.00017,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.13901,0.11062,0.0,0.086,0.12225,2299.0,20303.76159,0.11323,,,,,,,,,,,,0.4132,0.39996,0.0,0.3432,0.49291,0.76841,0.67933,0.0,0.55378,0.54616,0.0
32013010502,13.0,0.09062,0.0,0.97592,0.0,0.10185,0.0,0.11523,0.0,0.0636,1.0,0.00348,1.0,0.00767,1.0,0.24412,0.0,0.06099,0.0,0.67782,0.0,0.01063,1.0,0.0,1.0,0.0,1.0,0.21903,0.0,0.00453,1.0,0.0,1.0,0.0,1.0,0.00331,1.0,0.00017,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.20995,0.05379,0.0,0.32309,0.23303,3672.0,94.42014,38.89001,,,,,,,,,,,,0.29417,0.36333,0.0,0.27175,0.09288,0.75779,0.67704,1.0,0.58485,0.61326,0.0
32013010600,13.0,0.04792,1.0,0.99365,0.0,0.12167,1.0,0.20381,0.0,0.07942,1.0,0.0,1.0,0.0,1.0,0.18395,0.0,0.10373,0.0,0.7034,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.17423,0.0,0.00689,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.16128,0.21178,0.0,0.24938,0.11352,2142.0,4418.68117,0.48476,0.40304,0.15215,0.99999,0.36765,0.0,0.76572,0.66548,1.0,0.58921,0.77155,0.0,0.45073,0.37457,0.0,0.30946,0.75665,0.75106,0.54027,0.5,0.50243,0.77923,0.0
32013010701,13.0,0.07318,0.0,0.89337,0.0,0.06695,1.0,0.1837,0.0,0.08806,1.0,0.01519,1.0,0.0125,1.0,0.38685,0.0,0.04018,1.0,0.52855,0.0,0.00038,1.0,0.0,1.0,0.0,1.0,0.37127,0.0,0.00231,1.0,0.0,1.0,0.0,1.0,0.00365,1.0,0.01154,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.28168,0.24333,0.0,0.31369,0.22278,4926.0,7.27275,677.32322,0.06058,0.02336,0.0,0.21484,0.0,0.68437,0.68833,0.66958,0.49108,0.53765,0.0,0.34455,0.36362,0.00105,0.30983,0.344,0.69458,0.57985,0.99895,0.55967,0.38988,0.0
32013010702,13.0,0.04046,0.0,0.99668,0.0,0.10176,0.0,0.03429,1.0,0.03921,1.0,0.00293,1.0,1e-05,1.0,0.19893,0.0,0.01463,1.0,0.76741,0.0,0.01461,1.0,0.0,1.0,0.0,1.0,0.16298,0.0,0.00643,1.0,0.0,1.0,0.0,1.0,0.00292,1.0,1e-05,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.20808,0.0,1.0,0.02784,0.30842,4214.0,189.59663,22.22613,0.05623,0.0367,0.0,0.12042,0.00132,0.77134,0.73046,0.89602,0.67879,0.21022,0.0,0.29078,0.33162,0.49544,0.36462,0.52998,0.79184,0.71246,0.66469,0.58038,0.68799,0.0
32013010500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1461,0.0636,0.41956,0.16027,0.14067,0.75808,0.68222,0.04734,0.68976,0.70955,0.0,,,,,,,,,,,
