name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat,V11
Double Diamond Athletic Club,9400 DOUBLE DIAMOND PKWY RENO NV 89521,True,Locality wide location,False,-119.74694,39.44567,
Downtown Reno Library,301 S CENTER ST RENO NV 89501,True,Locality wide location,False,-119.81058,39.52263,
Incline Village Library,845 ALDER AVE INCLINE VILLAGE NV 89451,True,Locality wide location,False,-119.95752,39.25033,
North Valley's Library,1075 NORTH HILLS BLVD RENO NV 89506,True,Locality wide location,False,-119.83975,39.60551,
Northwest Reno Library,2325 ROBB DR RENO NV 89523,True,Locality wide location,False,-119.88532,39.53809,
Pyramid Lake Paiute Tribe Admin Bldg,208 CAPITOL HILL NIXON NV 89424,True,Locality wide location,False,-119.35675,39.83164,
Registrar of Voters Office,1001 E 9TH ST BLDG A RENO NV 89512,True,Locality wide location,False,-119.8024,39.53879,
Reno Town Mall,4001 S. VIRGINIA ST RENO NV 89502,True,Locality wide location,False,-119.79595,39.48665,
Reno-Sparks Convention Center,4590 S. VIRGINIA ST RENO NV 89502,True,Locality wide location,False,-119.79177,39.48581,
Reno-Sparks Indian Colony Gym,34 RESERVATION RD BLDG B RENO NV 89502,True,Locality wide location,False,-119.7863,39.52432,
South Valleys Library,15650A WEDGE PKWY RENO NV 89511,True,Locality wide location,False,-119.75931,39.40131,
Spanish Springs Library,7100 PYRAMID HWY SPARKS NV 89436,True,Locality wide location,False,-119.72462,39.62082,
Sparks Library,"1125 12TH ST, SPARKS NV 89431",True,Locality wide location,False,-119.75898,39.54405,
Sun Valley Neighborhood Center,115 W 6TH AVE SUN VALLEY NV 89433,True,Locality wide location,False,-119.7813,39.59663,
UNR – Lawlor Events Center,1664 N. VIRGINIA ST RENO NV 89512,True,Locality wide location,False,-119.8183,39.54509,
