provider,lat,lon,num_stops_per_week,score
RTC RIDE,39.50688,-119.80396,129.0,2.0
RTC RIDE,39.55301,-119.75778,63.0,1.0
RTC RIDE,39.55306,-119.76099,63.0,1.0
RTC RIDE,39.50632,-119.81706,49.0,1.0
RTC RIDE,39.50944,-119.81708,49.0,1.0
RTC RIDE,39.51262,-119.81709,49.0,1.0
RTC RIDE,39.5511,-119.76203,63.0,1.0
RTC RIDE,39.4861,-119.74948,37.0,1.0
RTC RIDE,39.5501,-119.79567,65.0,1.0
RTC RIDE,39.54975,-119.76207,63.0,1.0
RTC RIDE,39.54761,-119.76209,63.0,1.0
RTC RIDE,39.55117,-119.78632,65.0,1.0
RTC RIDE,39.51922,-119.84843,47.0,1.0
RTC RIDE,39.54738,-119.76783,63.0,1.0
RTC RIDE,39.53654,-119.73727,77.0,1.0
RTC RIDE,39.53556,-119.74087,77.0,1.0
RTC RIDE,39.54725,-119.77195,70.0,1.0
RTC RIDE,39.51705,-119.77374,63.0,1.0
RTC RIDE,39.51724,-119.77405,63.0,1.0
RTC RIDE,39.50977,-119.76303,63.0,1.0
RTC RIDE,39.54763,-119.77529,70.0,1.0
RTC RIDE,39.52769,-119.78068,132.0,2.0
RTC RIDE,39.54723,-119.78277,70.0,1.0
RTC RIDE,39.54347,-119.75257,63.0,1.0
RTC RIDE,39.51842,-119.78021,139.0,2.0
RTC RIDE,39.51829,-119.77901,138.0,2.0
RTC RIDE,39.54884,-119.77956,71.0,1.0
RTC RIDE,39.54911,-119.77949,70.0,1.0
RTC RIDE,39.54467,-119.78293,70.0,1.0
RTC RIDE,39.5431,-119.78384,70.0,1.0
RTC RIDE,39.50291,-119.75422,63.0,1.0
RTC RIDE,39.52757,-119.76194,57.0,1.0
RTC RIDE,39.53693,-119.83839,7.0,1.0
RTC RIDE,39.53965,-119.78464,70.0,1.0
RTC RIDE,39.53912,-119.78737,70.0,1.0
RTC RIDE,39.47076,-119.78033,49.0,1.0
RTC RIDE,39.52062,-119.84483,47.0,1.0
RTC RIDE,39.54212,-119.70084,71.0,1.0
RTC RIDE,39.53884,-119.78924,70.0,1.0
RTC RIDE,39.54259,-119.699,73.0,1.0
RTC RIDE,39.54202,-119.70329,73.0,1.0
RTC RIDE,39.53858,-119.79501,70.0,1.0
RTC RIDE,39.53861,-119.79896,70.0,1.0
RTC RIDE,39.55265,-119.82517,94.0,2.0
RTC RIDE,39.53864,-119.80249,70.0,1.0
RTC RIDE,39.48021,-119.79367,69.0,1.0
RTC RIDE,39.47701,-119.76586,37.0,1.0
RTC RIDE,39.50407,-119.8026,129.0,2.0
RTC RIDE,39.54197,-119.80378,70.0,1.0
RTC RIDE,39.54182,-119.71022,71.0,1.0
RTC RIDE,39.54178,-119.70625,71.0,1.0
RTC RIDE,39.53356,-119.7134,77.0,1.0
RTC RIDE,39.53837,-119.7152,77.0,1.0
RTC RIDE,39.54192,-119.80685,70.0,1.0
RTC RIDE,39.52099,-119.8588,47.0,1.0
RTC RIDE,39.52258,-119.85836,47.0,1.0
RTC RIDE,39.52393,-119.85632,47.0,1.0
RTC RIDE,39.52338,-119.85331,47.0,1.0
RTC RIDE,39.52087,-119.85261,47.0,1.0
RTC RIDE,39.54145,-119.80805,70.0,1.0
RTC RIDE,39.52472,-119.78059,75.0,1.0
RTC RIDE,39.53912,-119.80794,70.0,1.0
RTC RIDE,39.53719,-119.80786,70.0,1.0
RTC RIDE,39.51461,-119.85174,7.0,1.0
RTC RIDE,39.52729,-119.80414,131.0,2.0
RTC RIDE,39.53401,-119.80782,70.0,1.0
RTC RIDE,39.55368,-119.82651,91.0,2.0
RTC RIDE,39.53769,-119.86732,45.0,1.0
RTC RIDE,39.53325,-119.81153,70.0,1.0
RTC RIDE,39.53549,-119.88164,45.0,1.0
RTC RIDE,39.53269,-119.81238,138.0,2.0
RTC RIDE,39.53507,-119.87933,45.0,1.0
RTC RIDE,39.53835,-119.8698,45.0,1.0
RTC RIDE,39.63734,-119.88197,91.0,2.0
RTC RIDE,39.52926,-119.81722,149.0,2.0
RTC RIDE,39.53038,-119.81924,45.0,1.0
RTC RIDE,39.52879,-119.79845,55.0,1.0
RTC RIDE,39.53005,-119.82145,45.0,1.0
RTC RIDE,39.54146,-119.71129,154.0,2.0
RTC RIDE,39.53886,-119.7113,77.0,1.0
RTC RIDE,39.53566,-119.71132,77.0,1.0
RTC RIDE,39.52964,-119.82362,45.0,1.0
RTC RIDE,39.5704,-119.78328,65.0,1.0
RTC RIDE,39.57053,-119.783,64.0,1.0
RTC RIDE,39.54811,-119.79774,64.0,1.0
RTC RIDE,39.5312,-119.82426,45.0,1.0
RTC RIDE,39.55027,-119.79507,64.0,1.0
RTC RIDE,39.55207,-119.79315,64.0,1.0
RTC RIDE,39.55148,-119.79069,64.0,1.0
RTC RIDE,39.55103,-119.7862,64.0,1.0
RTC RIDE,39.55154,-119.78303,64.0,1.0
RTC RIDE,39.55236,-119.7812,64.0,1.0
RTC RIDE,39.55426,-119.78226,64.0,1.0
RTC RIDE,39.5577,-119.77899,64.0,1.0
RTC RIDE,39.56135,-119.77361,64.0,1.0
RTC RIDE,39.56416,-119.77368,64.0,1.0
RTC RIDE,39.56771,-119.77819,64.0,1.0
RTC RIDE,39.57004,-119.78042,64.0,1.0
RTC RIDE,39.56964,-119.78042,65.0,1.0
RTC RIDE,39.56645,-119.77557,65.0,1.0
RTC RIDE,39.56383,-119.77393,65.0,1.0
RTC RIDE,39.56162,-119.7739,65.0,1.0
RTC RIDE,39.55816,-119.77898,65.0,1.0
RTC RIDE,39.53218,-119.82532,45.0,1.0
RTC RIDE,39.53157,-119.82812,45.0,1.0
RTC RIDE,39.53109,-119.83061,45.0,1.0
RTC RIDE,39.53487,-119.87817,47.0,1.0
RTC RIDE,39.53055,-119.88186,47.0,1.0
RTC RIDE,39.53741,-119.86734,47.0,1.0
RTC RIDE,39.53811,-119.87038,47.0,1.0
RTC RIDE,39.53714,-119.87383,47.0,1.0
RTC RIDE,39.53099,-119.83044,47.0,1.0
RTC RIDE,39.53145,-119.82816,47.0,1.0
RTC RIDE,39.53215,-119.82497,47.0,1.0
RTC RIDE,39.53747,-119.87383,45.0,1.0
RTC RIDE,39.5284,-119.79768,132.0,2.0
RTC RIDE,39.49931,-119.80031,129.0,2.0
RTC RIDE,39.48004,-119.79076,129.0,2.0
RTC RIDE,39.47472,-119.78797,129.0,2.0
RTC RIDE,39.47518,-119.78853,105.0,2.0
RTC RIDE,39.54176,-119.74471,71.0,1.0
RTC RIDE,39.54182,-119.70307,71.0,1.0
RTC RIDE,39.53676,-119.84222,7.0,1.0
RTC RIDE,39.51688,-119.7657,63.0,1.0
RTC RIDE,39.5153,-119.76024,100.0,2.0
RTC RIDE,39.51458,-119.75588,100.0,2.0
RTC RIDE,39.5057,-119.74843,37.0,1.0
RTC RIDE,39.49269,-119.74825,37.0,1.0
RTC RIDE,39.48686,-119.7605,37.0,1.0
RTC RIDE,39.47989,-119.76365,37.0,1.0
RTC RIDE,39.48406,-119.76173,37.0,1.0
RTC RIDE,39.53725,-119.84621,7.0,1.0
RTC RIDE,39.4768,-119.76797,37.0,1.0
RTC RIDE,39.47984,-119.7635,37.0,1.0
RTC RIDE,39.48342,-119.76186,37.0,1.0
