geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020
32003000101,3.0,0.25315,0.0,0.96816,0.0,0.13251,0.0,0.11885,0.0,0.10215,1.0,0.02573,0.0,0.09142,0.0,0.60638,0.0,0.00293,1.0,0.23964,0.0,0.08714,0.0,0.01308,1.0,0.0,1.0,0.48129,0.0,0.0121,1.0,0.00563,1.0,0.0,1.0,0.00261,1.0,0.01576,1.0,0.0,1.0,8e-05,1.0,0.00101,1.0,0.00222,0.00385,0.0,0.00133,0.00234,6698.0,3.78412,1770.02916,0.05443,0.01166,2e-05,0.02882,0.60479,0.64166,0.48521,0.60265,0.43931,0.37259,0.49156,0.37015,0.61008,0.59913,0.51985,0.56869
32003000103,3.0,0.2848,0.0,0.79799,0.0,0.13416,0.0,0.20835,0.0,0.08319,1.0,0.01531,1.0,0.07747,0.0,0.53611,0.0,0.00943,1.0,0.28529,0.0,0.12123,0.0,0.01979,1.0,0.0,1.0,0.35472,0.0,0.01392,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01191,1.0,0.00139,1.0,0.0,1.0,0.0,1.0,0.00222,0.11749,0.0,0.00068,0.00155,5945.0,1.29889,4576.97174,0.04089,0.022,0.13196,3e-05,0.55627,0.64439,0.52137,0.65206,0.48658,0.45952,0.48713,0.38679,0.52426,0.57295,0.49297,0.50705
32003000105,3.0,0.24171,0.0,0.97069,0.0,0.10191,0.0,0.03763,1.0,0.09462,1.0,0.02377,1.0,0.03347,1.0,0.74842,0.0,0.00554,1.0,0.16571,0.0,0.20354,1.0,0.0,1.0,0.0,1.0,0.52965,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00669,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00149,0.25613,0.0,0.00299,0.00122,3978.0,2.03469,1955.08844,0.04468,0.01064,0.00016,3e-05,0.62203,0.65842,0.37598,0.67982,0.45956,0.43661,0.57742,0.46613,0.60254,0.57906,0.56556,0.50193
32003000106,3.0,0.22638,0.0,0.70209,0.0,0.21699,0.0,0.24826,0.0,0.05424,1.0,0.02915,0.0,0.10836,0.0,0.46857,0.0,1e-05,1.0,0.30926,0.0,0.01658,1.0,0.01736,1.0,0.0,1.0,0.43443,0.0,0.0,1.0,7e-05,1.0,0.0,1.0,0.00721,1.0,0.00226,1.0,0.0,1.0,0.0,1.0,0.00969,1.0,0.00182,0.02811,0.0,0.00066,0.00173,4546.0,1.36123,3339.62066,0.06868,0.02055,0.0,4e-05,0.62737,0.66362,0.39692,0.65875,0.49441,0.3852,0.44979,0.33914,0.64043,0.60602,0.60604,0.44948
32003000107,3.0,0.2494,0.0,0.75784,0.0,0.15137,0.0,0.11244,0.0,0.06468,1.0,0.14602,0.0,0.10025,0.0,0.52786,0.0,0.00025,1.0,0.18856,0.0,0.06418,1.0,0.01965,1.0,0.0,1.0,0.41841,0.0,0.0,1.0,0.01393,1.0,0.0,1.0,0.02338,1.0,0.10697,1.0,0.0,1.0,0.0097,1.0,0.0,1.0,0.00163,0.11577,0.0,0.00162,0.00132,4014.0,1.24843,3215.23877,0.05234,0.01416,4e-05,0.0,0.57113,0.62495,0.56435,0.55752,0.50914,0.47102,0.61185,0.46602,0.6104,0.62502,0.5775,0.51058
32003000108,3.0,0.21333,0.0,0.88248,0.0,0.17484,0.0,0.15278,0.0,0.10497,1.0,0.02153,1.0,0.1109,1.0,0.631,0.0,0.00208,1.0,0.19693,0.0,0.03467,1.0,0.00028,1.0,0.0,1.0,0.53703,0.0,0.0,1.0,0.02076,1.0,0.0,1.0,0.00012,1.0,0.00093,1.0,0.0,1.0,0.0,1.0,0.00016,1.0,0.00101,0.06987,0.0,0.00028,0.00089,3764.0,0.95991,3921.18133,0.04406,0.00374,0.0,0.03509,0.56614,0.60824,0.45793,0.68449,0.47808,0.4748,0.10041,0.32058,0.57475,0.56935,0.52282,0.54387
32003000109,3.0,0.18583,0.0,0.8194,0.0,0.2192,0.0,0.25756,0.0,0.06962,1.0,0.06889,1.0,0.11684,0.0,0.36593,0.0,0.00374,1.0,0.37941,0.0,0.0237,1.0,0.00798,1.0,0.0,1.0,0.30971,0.0,0.0,1.0,0.00614,1.0,0.0,1.0,0.02342,1.0,0.04942,1.0,0.0,1.0,0.0024,1.0,0.00029,1.0,0.00159,0.16622,0.0,0.00028,0.00112,3607.0,0.96831,3725.03424,0.05284,0.01907,0.0,0.01083,0.55371,0.5887,0.5688,0.62017,0.47599,0.44877,0.24082,0.41709,0.56352,0.57153,0.57028,0.49276
32003000201,3.0,0.19492,0.0,0.76224,0.0,0.19114,0.0,0.37752,0.0,0.08428,1.0,0.0658,1.0,0.3533,0.0,0.33673,0.0,0.00883,1.0,0.10671,0.0,0.04319,1.0,0.00366,1.0,0.01806,1.0,0.25983,0.0,0.00288,1.0,0.00652,1.0,0.0,1.0,0.00258,1.0,0.06319,1.0,0.0,1.0,1e-05,1.0,0.0,1.0,0.00147,0.0,1.0,0.00054,0.00127,4820.0,2.18545,2205.49704,0.0477,0.03039,0.04012,0.02167,0.53231,0.59004,0.50969,0.48751,0.53291,0.48083,0.49538,0.45105,0.54909,0.5724,0.57361,0.47077
32003000203,3.0,0.11208,0.0,0.79468,0.0,0.16521,0.0,0.29902,0.0,0.11967,1.0,0.07479,0.0,0.23621,0.0,0.36973,0.0,0.01764,1.0,0.26501,0.0,0.02746,1.0,0.01474,1.0,0.0,1.0,0.29315,0.0,0.01139,1.0,0.02099,1.0,0.0,1.0,0.0,1.0,0.06609,0.0,0.0,1.0,0.00201,1.0,0.0,1.0,0.00188,0.17152,0.0,0.0094,0.00122,4003.0,2.03365,1968.38006,0.04837,0.03771,0.02429,0.00165,0.5029,0.51896,0.52541,0.31984,0.4984,0.4047,0.61348,0.40749,0.53032,0.50298,0.53015,0.34936
32003000204,3.0,0.05931,1.0,0.99794,0.0,0.13328,1.0,0.11713,1.0,0.08383,1.0,0.16067,1.0,0.14574,1.0,0.08373,1.0,0.00264,1.0,0.57187,0.0,0.00015,1.0,0.00283,1.0,0.0,1.0,0.06927,1.0,0.0,1.0,0.00443,1.0,0.0132,1.0,0.00271,1.0,0.03112,1.0,0.00354,1.0,5e-05,1.0,0.00441,1.0,0.00061,0.0676,0.0,0.00266,0.0006,957.0,1.73836,550.51755,0.09463,0.01794,0.13366,9e-05,0.66629,0.64094,0.4408,0.72278,0.42698,0.47754,0.5001,0.55548,0.66447,0.55828,0.74261,0.57418
