,osm_id,code,fclass,name,lon,lat
0,302150967,2007,library,Sahara West Library,-115.30471,36.14527
1,302174918,2005,post_office,,-115.26372,36.08437
2,302763177,2005,post_office,,-115.30627,36.18871
3,303330370,2002,fire_station,,-115.19545,36.16023
4,303572100,2007,library,Rainbow Library,-115.2593,36.21731
5,304467800,2002,fire_station,,-115.18424,36.04692
6,304590221,2007,library,Green Valley Library,-115.08307,36.07051
7,304712434,2005,post_office,Main Post Office,-115.13957,36.07098
8,304716488,2001,police,Nevada Highway Patrol,-115.20453,36.07142
9,305100846,2001,police,Metro Dispatch Center,-115.20463,36.08553
10,305811874,2002,fire_station,Clark County Fire Department,-115.10069,36.09544
11,305844680,2007,library,Whitney Library,-115.06023,36.09979
12,357561645,2005,post_office,Saint Joseph Post Office,-114.4497,36.57275
13,357561648,2005,post_office,Logandale Post Office,-114.48422,36.59797
14,357561660,2005,post_office,Kaolin Post Office,-114.41414,36.50692
15,357561712,2005,post_office,Sloan Post Office,-115.21773,35.94289
16,357561717,2005,post_office,Quartette Post Office,-114.92248,35.45221
17,357561722,2005,post_office,Platina Post Office,-115.57973,35.8022
18,357562190,2005,post_office,Keystone Post Office,-115.60639,35.80164
19,357562193,2005,post_office,Ripley Post Office,-115.60167,35.79803
20,357562196,2005,post_office,Sandy Post Office,-115.605,35.80414
21,357563391,2005,post_office,Bunkerville Post Office,-114.12802,36.77303
22,357563514,2005,post_office,Laughlin Rural Branch Post Office,-114.57303,35.16772
23,357563745,2005,post_office,Goodsprings Rural Station Post Office,-115.43392,35.8327
24,357563876,2005,post_office,Blue Diamond Post Office,-115.40697,36.04754
25,357563907,2005,post_office,Searchlight Post Office,-114.91822,35.46345
26,357564111,2005,post_office,Pittman Station Post Office,-115.00805,36.0622
27,357564128,2005,post_office,Moapa Post Office,-114.6236,36.67192
28,357564225,2005,post_office,Indian Springs Post Office,-115.67092,36.57741
29,357564269,2005,post_office,North Las Vegas Post Office,-115.11806,36.19497
30,357564292,2005,post_office,Airport Branch Post Office,-115.15055,36.08525
31,357564301,2005,post_office,Bonanza Station Post Office,-115.155,36.17664
32,357564308,2005,post_office,Cal Nev Ari Rural Branch Post Office,-114.88386,35.29361
33,357564319,2005,post_office,Cottonwood Cove Rural Branch Post Office,-114.68692,35.49124
34,357564326,2005,post_office,Federal Station Post Office,-115.14361,36.16636
35,357564333,2005,post_office,Garside Station Post Office,-115.20722,36.15608
36,357564336,2005,post_office,Huntridge Station Post Office,-115.105,36.15497
37,357564339,2005,post_office,Jean Post Office,-115.32228,35.78092
38,357564355,2005,post_office,Nellis Air Force Base Branch Post Office,-115.04556,36.24219
39,357564358,2005,post_office,Old Nevada Village Rural Station Post Office,-115.45945,36.06747
40,357568267,2005,post_office,Crossroads Post Office,-115.22371,36.27269
41,357568270,2005,post_office,Desert Inn Post Office,-115.11768,36.13003
42,357568273,2005,post_office,Emerald Post Office,-115.22533,36.11596
43,357568276,2005,post_office,Garside Post Office,-115.20836,36.15125
44,357568280,2005,post_office,Green Valley Post Office,-115.08191,36.06996
