geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020
32019960103,19.0,0.0673,1.0,0.89203,0.0,0.18522,0.0,0.08609,0.0,0.08879,1.0,5e-05,1.0,0.00288,1.0,0.22239,0.0,8e-05,1.0,0.76647,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.18361,1.0,0.01094,1.0,3e-05,1.0,0.0,1.0,0.0,1.0,4e-05,1.0,0.0,1.0,0.0,1.0,2e-05,1.0,0.02707,0.0,1.0,0.26664,0.02623,1729.0,125.53202,13.77338,0.04266,0.0,0.0,0.0001,0.60616,0.55675,0.33552,0.5923,0.4248,0.48926,0.49829,0.30039,0.58583,0.37036,0.28672,0.41972
32019960104,19.0,0.03255,1.0,0.93183,0.0,0.10365,0.0,0.16443,0.0,0.06078,1.0,0.02764,0.0,0.00311,1.0,0.26605,0.0,0.03231,0.0,0.62914,0.0,0.00387,1.0,0.0,1.0,0.0,1.0,0.18199,0.0,0.01122,1.0,0.00574,1.0,0.0,1.0,0.00401,1.0,0.0,1.0,0.00507,1.0,0.0,1.0,0.01856,1.0,0.06264,0.09318,0.0,0.04463,0.04969,3972.0,1.71282,2318.98809,,,,,,,,,0.45405,0.41706,0.5,0.32042,0.57163,0.40257,0.6,0.36698
32019960105,19.0,0.0321,1.0,0.93256,0.0,0.10263,0.0,0.16479,0.0,0.06051,1.0,0.02788,0.0,0.00324,1.0,0.26584,0.0,0.03261,0.0,0.62825,0.0,0.00392,1.0,0.0,1.0,0.0,1.0,0.18164,0.0,0.01116,1.0,0.00578,1.0,0.0,1.0,0.00403,1.0,5e-05,1.0,0.00511,1.0,0.0,1.0,0.01869,1.0,0.06173,0.0,1.0,0.00599,0.06872,4004.0,2.89661,1382.30336,,,,,,,,,0.4445,0.47085,0.65627,0.36699,0.64783,0.50385,0.43627,0.4349
32019960106,19.0,0.02932,0.0,0.97395,0.0,0.07978,0.0,0.05617,0.0,0.07481,1.0,0.01012,0.0,0.02609,0.0,0.13453,0.0,0.01367,1.0,0.77327,0.0,0.00311,1.0,0.0,1.0,0.0,1.0,0.12583,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00825,1.0,0.00124,1.0,0.0,1.0,0.00062,1.0,0.07425,0.0,1.0,0.06492,0.09651,5068.0,127.48181,39.75469,,,,,,,,,0.40166,0.50494,0.56023,0.38089,0.68275,0.52593,0.61264,0.5111
32019960107,19.0,0.02979,0.0,0.97293,0.0,0.08109,0.0,0.05654,0.0,0.07498,1.0,0.00999,0.0,0.0258,0.0,0.13562,0.0,0.0135,1.0,0.77319,0.0,0.00307,1.0,0.0,1.0,0.0,1.0,0.12655,0.0,0.00014,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00815,1.0,0.00123,1.0,0.0,1.0,0.00061,1.0,0.05222,0.0,1.0,0.00708,0.05699,3595.0,3.28911,1093.00094,,,,,,,,,0.45592,0.49201,0.68753,0.4554,0.63293,0.5311,0.27911,0.40979
32019960108,19.0,0.02939,0.0,0.9738,0.0,0.07996,0.0,0.05622,0.0,0.07483,1.0,0.0101,0.0,0.02605,0.0,0.13468,0.0,0.01364,1.0,0.77326,0.0,0.0031,1.0,0.0,1.0,0.0,1.0,0.12593,0.0,2e-05,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00824,1.0,0.00124,1.0,0.0,1.0,0.00062,1.0,0.06966,0.0,1.0,0.0179,0.07969,4713.0,9.19824,512.38043,,,,,,,,,0.43586,0.49642,0.47508,0.34978,0.63245,0.44514,0.46131,0.38802
32019960203,19.0,0.00768,1.0,0.93827,0.0,0.19179,0.0,0.20084,0.0,0.08594,1.0,0.01387,1.0,0.00046,1.0,0.0611,0.0,0.00325,1.0,0.88596,0.0,0.00903,1.0,0.0,1.0,0.0,1.0,0.04375,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01386,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.04657,0.0,1.0,0.02281,0.03847,2464.0,332.73242,7.40535,,,,,,,,,0.55821,0.53437,0.56091,0.53379,0.68116,0.57747,0.58974,0.41014
32019960204,19.0,0.00765,1.0,0.93823,0.0,0.19179,0.0,0.20093,0.0,0.08597,1.0,0.01387,1.0,0.00046,1.0,0.06101,0.0,0.00324,1.0,0.88606,0.0,0.00901,1.0,0.0,1.0,0.0,1.0,0.04368,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01387,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.03785,0.0313,0.0,0.01632,0.02774,2007.0,312.75674,6.41713,,,,,,,,,0.56633,0.55448,0.66667,0.64815,0.6616,0.57135,0.68999,0.41995
32019960205,19.0,0.0051,1.0,1.0,0.0,0.19233,0.0,0.09622,0.0,0.03867,1.0,0.00384,1.0,0.0,1.0,0.03542,1.0,0.02361,1.0,0.89168,0.0,0.01564,1.0,0.0,1.0,0.0,1.0,0.01653,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00089,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.03881,0.0,1.0,0.00766,0.02765,2195.0,22.57323,97.23906,,,,,,,,,0.5553,0.619,0.9993,0.38238,0.59628,0.57169,0.99817,0.37301
32019960206,19.0,0.0051,1.0,1.0,0.0,0.19233,0.0,0.09622,0.0,0.03867,1.0,0.00384,1.0,0.0,1.0,0.03542,1.0,0.02361,1.0,0.89168,0.0,0.01564,1.0,0.0,1.0,0.0,1.0,0.01653,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00089,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.02705,0.0,1.0,0.00583,0.02163,1502.0,667.25112,2.25103,,,,,,,,,0.57446,0.50234,0.88543,0.40923,0.65452,0.42191,0.18353,0.39835
