geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020
32023960100,23.0,0.04589,1.0,0.995,0.0,0.03765,1.0,0.03794,1.0,0.10976,1.0,0.00234,1.0,0.00824,1.0,0.18318,0.0,0.1515,0.0,0.63052,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.13827,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00195,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.05666,0.2899,0.0,0.09634,0.0575,2340.0,22514.34766,0.10393,0.33932,0.23496,1.0,0.03393,0.65749,0.54406,1.0,0.65996,0.46734,0.6663,0.33333,0.427,0.84598,0.64261,1.0,0.77724
32023960200,23.0,0.00992,1.0,0.95923,0.0,0.03255,1.0,0.1766,0.0,0.08503,1.0,0.00283,1.0,0.08454,1.0,0.12897,1.0,0.01136,1.0,0.74962,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1214,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.05408,0.25208,0.0,0.23416,0.05754,2290.0,7763.66782,0.29496,0.07527,0.00451,0.0,0.332,0.68921,0.44846,1.0,0.65809,0.45502,0.42556,0.5,0.56112,0.8355,0.72747,1.0,0.6774
32023960300,23.0,0.1423,0.0,0.85914,1.0,0.10747,1.0,0.29656,0.0,0.09784,1.0,0.0,1.0,0.01298,1.0,0.47596,0.0,4e-05,1.0,0.5078,0.0,0.0,1.0,0.00618,1.0,0.0,1.0,0.46972,0.0,2e-05,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2e-05,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.03257,0.0,1.0,0.0625,0.04231,2083.0,4178.35028,0.49852,0.07451,0.0,0.0,0.1249,0.62995,0.49331,0.33356,0.4211,0.48959,0.48913,0.33387,0.55452,0.74245,0.62681,0.99991,0.57201
32023960405,23.0,0.02756,1.0,0.99872,0.0,0.32734,0.0,0.20943,0.0,0.09805,1.0,0.0204,1.0,0.00507,1.0,0.10865,0.0,0.01663,1.0,0.81769,0.0,0.00299,1.0,0.0,1.0,0.0,1.0,0.07235,0.0,0.02042,1.0,0.0,1.0,5e-05,1.0,0.0054,1.0,0.01182,1.0,4e-05,1.0,8e-05,1.0,0.0,1.0,0.08932,0.0,1.0,0.03845,0.08533,4574.0,83.90338,54.51508,0.08581,0.0546,0.09529,0.02367,0.64644,0.56527,0.44874,0.48919,0.64862,0.7592,0.8312,0.69576,0.84125,0.75006,0.66728,0.6873
32023960407,23.0,0.03435,1.0,0.92312,0.0,0.3127,0.0,0.13113,0.0,0.02411,1.0,0.01982,0.0,0.01205,1.0,0.12128,0.0,0.01365,1.0,0.8048,0.0,0.00361,1.0,0.0,1.0,0.0,1.0,0.10587,0.0,0.00282,1.0,1e-05,1.0,0.00388,1.0,0.0,1.0,0.00255,1.0,0.00335,1.0,0.00615,1.0,0.0,1.0,0.06715,0.0,1.0,0.07157,0.0543,3550.0,9.31871,380.95396,,,,,,,,,0.68354,0.77182,0.98914,0.72189,0.80326,0.7592,0.79563,0.67681
32023960408,23.0,0.03436,1.0,0.9231,0.0,0.31278,0.0,0.13116,0.0,0.02409,1.0,0.01981,0.0,0.01204,1.0,0.12125,0.0,0.01365,1.0,0.80487,0.0,0.00361,1.0,0.0,1.0,0.0,1.0,0.10586,0.0,0.00281,1.0,0.0,1.0,0.00388,1.0,0.0,1.0,0.00254,1.0,0.00335,1.0,0.00616,1.0,0.0,1.0,0.10124,0.0,1.0,0.01685,0.11143,5513.0,25.14428,219.25465,,,,,,,,,0.62989,0.70408,0.76401,0.65258,0.84513,0.75446,0.84848,0.74545
32023960409,23.0,0.02055,1.0,0.95622,0.0,0.16566,0.0,0.07882,0.0,0.05941,1.0,0.03706,0.0,0.02206,0.0,0.1693,0.0,0.00598,1.0,0.67533,0.0,0.0,1.0,0.00833,1.0,0.0,1.0,0.11793,0.0,0.01441,1.0,0.0099,1.0,0.0,1.0,0.0,1.0,0.00745,1.0,0.00735,1.0,0.00088,1.0,0.0,1.0,0.11696,0.0,1.0,0.02938,0.11977,6018.0,24.88128,241.86863,,,,,,,,,0.64588,0.72298,0.74546,0.70672,0.82532,0.77432,0.71288,0.71263
32023960410,23.0,0.02055,1.0,0.95622,0.0,0.16567,0.0,0.07883,0.0,0.05941,1.0,0.03705,0.0,0.02205,0.0,0.16929,0.0,0.00598,1.0,0.67535,0.0,0.0,1.0,0.00833,1.0,0.0,1.0,0.11792,0.0,0.01441,1.0,0.0099,1.0,0.0,1.0,0.0,1.0,0.00745,1.0,0.00735,1.0,0.00088,1.0,0.0,1.0,0.11034,0.0,1.0,0.03528,0.11567,5662.0,151.09574,37.47293,,,,,,,,,0.6374,0.68072,0.63165,0.71243,0.86094,0.81192,0.71698,0.75467
32023960411,23.0,0.0035,1.0,0.95779,0.0,0.16773,0.0,0.15993,0.0,0.0268,1.0,0.01284,1.0,0.00549,1.0,0.07271,0.0,0.00088,1.0,0.87765,0.0,0.00686,1.0,1e-05,1.0,0.0,1.0,0.06513,0.0,0.0007,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00668,1.0,0.00299,1.0,0.0,1.0,0.0,1.0,0.06642,0.0,1.0,0.00922,0.06673,3408.0,1264.48858,2.69516,,,,,,,,,0.65563,0.71015,0.59197,0.69631,0.84347,0.8059,0.57513,0.67839
32023960412,23.0,0.00323,1.0,0.95799,0.0,0.16784,0.0,0.15933,0.0,0.02672,1.0,0.01294,1.0,0.00551,1.0,0.07204,0.0,0.0009,1.0,0.87794,0.0,0.00686,1.0,2e-05,1.0,0.0,1.0,0.06433,0.0,0.00074,1.0,3e-05,1.0,0.0,1.0,0.0,1.0,0.0067,1.0,0.00301,1.0,0.0,1.0,0.0,1.0,0.07339,0.0,2.0,0.26627,0.07333,4118.0,153.1687,26.88539,,,,,,,,,0.65732,0.70906,0.68951,0.71509,0.84524,0.79591,0.72498,0.70101
