osm_id,code,fclass,name,lon,lat
357555198,2082,school,Orovada Elementary School,-117.79042,41.56906
357555360,2082,school,Denio Elementary School,-118.63267,41.98962
357557067,2082,school,McDermitt Elementary School,-117.7182,41.99711
357557098,2082,school,Leonard Creek Elementary School,-118.71878,41.51657
357560010,2082,school,Paradise Valley Elementary School,-117.53804,41.49354
3019485458,2303,cafe,Sawtooth Station,-117.78613,41.56719
6338453731,2303,cafe,Deliziozo Espresso,-117.74019,40.96997
7983050152,2303,cafe,Cafe 345,-117.7341,40.97318
