osm_id,code,fclass,name,lon,lat
357555313,2082,school,Round Mountain Elementary School,-117.06592,38.70993
357556208,2082,school,Tonopah High School,-117.23314,38.0616
357556897,2082,school,Tonopah Elementary School,-117.23314,38.0616
1183477206,2402,motel,,-117.23337,38.07105
1183479673,2402,motel,Silver Queen Motel,-117.22995,38.0658
4559318399,2303,cafe,Beans & Brews Coffee House,-117.21616,38.05688
357552293,2082,school,Gabbs High School,-117.93193,38.85932
357557111,2082,school,Gabbs Elementary School,-117.93202,38.85899
357565397,2082,school,Gabbs Middle School,-117.93196,38.85915
357556391,2082,school,Duckwater Elementary School,-115.67253,38.90497
295252072,2082,school,Front Sight Firearms Training Institute,-115.88327,36.03056
357555916,2082,school,Pahrump Valley Christian School,-115.98392,36.20823
357560090,2082,school,Amargosa Valley Elementary School,-116.45935,36.56938
357565070,2013,nursing_home,Pahrump Health and Rehabilitation Center,-116.01356,36.28662
357565271,2082,school,Mount Charleston Elementary School,-115.9828,36.1835
357566445,2082,school,Community Christian Academy,-116.0098,36.2123
4810801322,2303,cafe,Starbucks,-115.99473,36.21673
6606501648,2012,community_centre,Bob Rudd Community Center,-115.99535,36.21992
6641903320,2303,cafe,Golden Harvest Cafe,-115.98426,36.21117
357561763,2005,post_office,Bonnie Claire Post Office,-117.12129,37.22669
357561833,2005,post_office,Tonopah Post Office,-117.23068,38.06737
357562886,2005,post_office,Midas Post Office,-117.62149,39.0402
357562920,2005,post_office,Learville Post Office,-116.85036,38.94549
357563314,2005,post_office,Glen Hamilton Post Office,-117.50649,38.97493
357563329,2005,post_office,Round Mountain Post Office,-117.06758,38.71104
357563401,2005,post_office,Manhattan Post Office,-117.07302,38.53826
357563818,2005,post_office,Area 12 Branch Post Office,-116.1581,37.19551
4866759821,2007,library,Round Mountain Library,-117.15837,38.69438
357562290,2005,post_office,Gabbs Post Office,-117.92317,38.86992
357562301,2005,post_office,Lodi Post Office,-117.87845,38.99381
366087971,2008,town_hall,Gabbs City Hall,-117.92317,38.86937
7630411583,2005,post_office,United States Post Office,-117.9313,38.86165
357561796,2005,post_office,Duckwater Post Office,-115.71424,38.93182
325207560,2009,courthouse,,-116.76655,36.90102
357561815,2005,post_office,Fluorine Post Office,-116.697,36.88634
357561827,2005,post_office,Leeland Post Office,-116.58737,36.58601
357561829,2005,post_office,Amargosa Valley Post Office,-116.41997,36.52564
357562206,2005,post_office,Johnnie Mine Post Office,-116.0492,36.46246
357562209,2005,post_office,Johnnie Post Office,-116.07202,36.41969
357562223,2005,post_office,Stirling Post Office,-115.95864,36.48523
357563275,2005,post_office,Pahrump Post Office,-115.98388,36.20823
2253438758,2002,fire_station,Beatty VFD,-116.76332,36.90943
2253443505,2001,police,Nye County Sheriff Office,-116.76651,36.90086
2253471507,2008,town_hall,Beatty Town Hall,-116.76123,36.90331
5475869545,2005,post_office,Mercury Post Office,-115.99677,36.65762
5475869546,2001,police,Mercury Sheriff's Office,-115.99683,36.65761
